RunType,Distractor,Target,corrAns,CurrTrialType,PrevTrialType,Prime_Congruent_Key_Analog_Column,Prime_Incongruent_Key_Analog_Column,Probe_Congruent_Key_Analog_Column,Probe_Incongruent_Key_Analog_Column,Probe_Congruent_Key_Digital_Column,Pract1.thisRepN,Pract1.thisTrialN,Pract1.thisN,Pract1.thisIndex,Pract2.thisRepN,Pract2.thisTrialN,Pract2.thisN,Pract2.thisIndex,Trials_1.thisRepN,Trials_1.thisTrialN,Trials_1.thisN,Trials_1.thisIndex,Trials_2.thisRepN,Trials_2.thisTrialN,Trials_2.thisN,Trials_2.thisIndex,Trials_3.thisRepN,Trials_3.thisTrialN,Trials_3.thisN,Trials_3.thisIndex,Trials_4.thisRepN,Trials_4.thisTrialN,Trials_4.thisN,Trials_4.thisIndex,Trials_5.thisRepN,Trials_5.thisTrialN,Trials_5.thisN,Trials_5.thisIndex,Trials_6.thisRepN,Trials_6.thisTrialN,Trials_6.thisN,Trials_6.thisIndex,Trials_7.thisRepN,Trials_7.thisTrialN,Trials_7.thisN,Trials_7.thisIndex,Trials_8.thisRepN,Trials_8.thisTrialN,Trials_8.thisN,Trials_8.thisIndex,Trials_9.thisRepN,Trials_9.thisTrialN,Trials_9.thisN,Trials_9.thisIndex,Computer_Name,Consent1_Image.started,Consent2_Image.started,Consent3_Image.started,Placement_Image.started,Instructions1_image.started,Instructions2_Image.started,Reminder1_Image.started,Instructions4_Txt.started,Interval_Text.started,Interval_Text.stopped,Interval_Blank.started,Interval_Blank.stopped,ISI_2.started,Distract.started,key_resp.started,Distract.stopped,Targ.started,Targ.stopped,key_resp.stopped,Response Key,Key Correct,PsychoPy Response Time (ms),Distractor_Onset_PsychoPy,Target_Onset_PsychoPy,Arduino Response Time (ms),Distractor_Onset_Arduino (ms),Target_Onset_Arduino (ms),Arduino Key Press Time (ms),key_resp.keys,key_resp.corr,Feedback,Message.started,Message.stopped,SecondPractice_Txt.started,SecondPractice_resp.started,SecondPractice_resp.keys,Reminder2_Image.started,Reminder2_resp.started,Reminder2_resp.keys,GoodJob_1.started,Ready_1.started,Eight_More.started,Ready_2.started,Seven_More.started,Ready_3.started,Six_More.started,Ready_4.started,Five_More.started,Ready_5.started,Four_More.started,Ready_6.started,Three_More.started,Ready_7.started,Two_More.started,Ready_8.started,One_More.started,Ready_9.started,Completion_Txt.started,Completion_resp.started,Completion_resp.keys,End_Response.started,Debrief1_Txt.started,End_Response.keys,Debrief2_Txt.started,Debrief2_resp.started,Debrief2_resp.keys,Debrief3_Txt.started,Debrief3_resp.started,Debrief3_resp.keys,participant,How old are you (in years)?,Are you male or female (M or F)?,Do you have normal vision and hearing (Y or N)?,date,expName,psychopyVersion,frameRate,
Practice,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,Congruent,None,1,0,1,0,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,psyc-danweiss23,347.52025819999994,377.9758630000001,402.69012169999996,410.39173860000005,428.95378400000004,498.29939360000003,512.6618137,524.5930688999999,536.3632089,538.1627556999999,538.1627556999999,538.3628037999999,0.00222259999986818,538.8298817,538.8629036,538.9625379000001,539.4630863,539.5958431000001,540.8624770000001,G,True,733.0783999998403,0.5099281999998766,1.1428094000000328,709,196628,197262,197971,None,0,Correct,540.8624770000001,541.0630869000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,Incongruent,Congruent,2,4,4,2,10,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009830099999817321,541.5293571,541.5628392000001,541.662362,542.1627761,542.2956212000001,543.5622251,J,False,132.93690000000424,0.509856099999979,1.1426274000000376,107,199327,199961,200068,None,0,Incorrect,543.5622251,543.7621196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,Congruent,Incongruent,0,1,0,1,6,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008807599999954618,544.2290854,544.2622194,544.3620583,544.8622865,544.995351,546.2620489000001,F,True,616.2541999999576,0.5091946999998527,1.142266999999947,580,202028,202659,203239,None,0,Correct,546.2620489000001,546.4619149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Down.png,n,Congruent,Congruent,4,2,4,2,10,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008656199999904857,546.9289317,546.9620360000001,547.0617817,547.562126,547.6950732,548.9615860000001,N,True,566.392199999882,0.5090127999999368,1.1420223999998598,532,204727,205360,205892,None,0,Correct,548.9615860000001,549.1615569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,Incongruent,Congruent,0,1,1,0,7,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00830839999980526,549.6284832000001,549.6616994999999,549.7616192,550.2616783000001,550.3947651000001,551.6612188000001,G,True,832.8021000002082,0.5086775999998281,1.141942799999697,804,207426,208060,208864,None,0,Correct,551.6612188000001,551.8612106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,Incongruent,Incongruent,4,2,2,4,8,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007939199999782431,552.3281025000001,552.3613057,552.4610402000001,552.9614981,553.0944819000001,554.3608961,J,True,433.23279999981423,0.5082863999998608,1.1414562999998452,412,210125,210758,211170,None,0,Correct,554.3608961,554.5609807000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,Congruent,Incongruent,1,0,1,0,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0076756999997087405,555.0277696,555.0610587000001,555.1607923000001,555.6613075,555.7941749000001,557.0604634000001,G,True,783.0271000000266,0.5080450999996629,1.141139499999781,760,212825,213457,214217,None,0,Correct,557.0604634000001,557.2606092000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,Incongruent,Congruent,4,2,2,4,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00730049999970106,557.7276199,557.7609845,557.8604773,558.3607868000001,558.4937053000001,559.7607912000001,J,True,433.1108999999742,0.5079626999995526,1.1407098999995924,395,215525,216159,216554,None,0,Correct,559.7607912000001,559.9603397999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,Incongruent,Incongruent,0,1,1,0,7,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007064699999546065,560.4276409000001,560.4605412000001,560.560217,561.0604880000001,561.1935102,562.4599515,G,True,499.75540000014007,0.5076384999995298,1.1403033999995387,469,218224,218858,219327,None,0,Correct,562.4599515,562.6599894999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
Practice,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,Incongruent,Incongruent,2,4,4,2,10,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00667589999966367,563.1270314000001,563.1602328000001,563.2598674999999,563.7601691,563.8932156999999,565.159615,N,True,466.41460000000734,0.5074311999994734,1.1400492999996459,433,220923,221556,221989,None,0,Correct,565.159615,565.3596157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,F,Y,2022-11-10_12h03.02.739,Prime-Probe,2022.2.4,59.95387149126976,
