,ExpName,PsNum,Age,Sex,Vision,Date,RunType,Distractor,Target,corrAns,arduino_rt,CurrTrialType,PrevTrialType,CurrAcc,PrevAcc,median_distance,Outlier
46,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,353.0,Congruent,None,Correct,None,Invalid,Invalid
47,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,407.0,Incongruent,Congruent,Correct,Correct,82.0,False
48,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,356.0,Neutral,Incongruent,Correct,Correct,91.0,False
49,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,312.0,Incongruent,Neutral,Correct,Correct,71.0,False
50,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Left.png,f,529.0,Incongruent,Incongruent,Correct,Correct,153.0,False
51,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Down.png,n,385.0,Congruent,Incongruent,Correct,Correct,40.0,False
52,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Right.png,g,494.0,Neutral,Congruent,Correct,Correct,93.0,False
53,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,487.0,Neutral,Neutral,Correct,Correct,91.0,False
54,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,355.0,Congruent,Neutral,Correct,Correct,46.0,False
55,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,483.0,Incongruent,Congruent,Correct,Correct,76.0,False
56,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,523.0,Incongruent,Incongruent,Correct,Correct,147.0,False
57,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,309.0,Incongruent,Incongruent,Correct,Correct,70.0,False
58,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,484.0,Congruent,Incongruent,Correct,Correct,104.0,False
59,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Down.png,n,567.0,Congruent,Congruent,Correct,Correct,180.0,False
60,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,499.0,Incongruent,Congruent,Correct,Correct,78.0,False
61,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,376.0,Incongruent,Incongruent,Correct,Correct,41.0,False
62,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,573.0,Congruent,Incongruent,Correct,Correct,190.0,True
63,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,345.0,Incongruent,Congruent,Correct,Correct,142.0,False
64,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,509.0,Neutral,Incongruent,Correct,Correct,118.0,False
65,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,504.0,Neutral,Neutral,Correct,Correct,105.0,False
66,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,408.0,Congruent,Neutral,Correct,Correct,53.0,False
67,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Down.png,n,585.0,Incongruent,Congruent,Correct,Correct,104.0,False
68,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,536.0,Incongruent,Incongruent,Correct,Correct,160.0,False
69,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Down.png,n,572.0,Congruent,Incongruent,Correct,Correct,189.0,True
70,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Left.png,f,398.0,Incongruent,Congruent,Correct,Correct,90.0,False
71,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Up.png,j,362.0,Congruent,Incongruent,Correct,Correct,41.0,False
72,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,578.0,Incongruent,Congruent,Correct,Correct,105.0,False
73,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,511.0,Neutral,Incongruent,Correct,Correct,120.0,False
74,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Right.png,g,358.0,Incongruent,Neutral,Correct,Correct,49.0,False
